Labels,R3B_film 2_exc_em630,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,620.00,
Step,1.00,
Fixed/Offset,630.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,66.950,
Scan Polariser,None,
Scan Slit,2.9999809,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.4999860,
Detector,Det 1,

569.00,4.95204395E+3,
570.00,5.20107227E+3,
571.00,5.11327539E+3,
572.00,5.35722852E+3,
573.00,5.21810010E+3,
574.00,5.25458203E+3,
575.00,5.04962744E+3,
576.00,5.23432227E+3,
577.00,5.42774756E+3,
578.00,5.08697363E+3,
579.00,5.18121924E+3,
580.00,5.13217871E+3,
581.00,5.00245605E+3,
582.00,4.94018701E+3,
583.00,4.83728516E+3,
584.00,4.76795020E+3,
585.00,4.80005908E+3,
586.00,4.48325879E+3,
587.00,4.44830273E+3,
588.00,4.48425244E+3,
589.00,4.47893359E+3,
590.00,4.27109277E+3,
591.00,4.24543652E+3,
592.00,3.98565942E+3,
593.00,3.74022363E+3,
594.00,3.57749951E+3,
595.00,3.22702368E+3,
596.00,3.33794971E+3,
597.00,2.98649072E+3,
598.00,2.92687012E+3,
599.00,2.70260840E+3,
600.00,2.67558887E+3,
601.00,2.29873291E+3,
602.00,2.03423303E+3,
603.00,1.70310327E+3,
604.00,1.81819714E+3,
605.00,1.59081433E+3,
606.00,1.54318579E+3,
607.00,1.26008911E+3,
608.00,1.25288831E+3,
609.00,1.13261511E+3,
610.00,1.09083960E+3,
611.00,9.62047974E+2,
612.00,9.47354797E+2,
613.00,8.17169983E+2,
614.00,8.24428589E+2,
615.00,8.27045776E+2,
616.00,8.81466431E+2,
617.00,8.71416321E+2,
618.00,9.30711792E+2,
619.00,7.96930176E+2,
620.00,8.49465332E+2,
